book_id,user_id,rating
1,2487,4
1,6630,5
1,7563,3
1,12471,5
1,24499,5
1,25164,4
1,26145,4
1,26629,4
1,28158,4
1,28767,5
1,32305,5
1,32748,5
1,33065,4
1,37834,5
1,52036,2
2,6342,3
2,6630,5
2,8167,2
2,9731,4
2,10288,5
2,10509,2
2,12874,4
2,14372,3
2,15604,4
2,17566,4
2,19729,4
2,24499,5
2,25164,4
2,26145,4
2,26629,4
2,28767,4
2,30944,5
2,32305,5
2,32748,5
2,33065,5
2,37834,4
2,48687,1
2,52036,3
2,53292,5
3,2487,3
3,6630,5
3,9731,2
3,10509,1
3,12471,2
3,15604,1
3,26629,4
3,28767,3
3,32305,1
3,33065,1
3,37834,4
3,43602,4
3,48687,1
3,49288,5
3,49289,5
3,49295,5
3,49297,5
3,52036,1
3,53292,5
4,2487,5
4,3739,5
4,6342,5
4,6630,4
4,8167,5
4,12381,5
4,12874,5
4,15604,3
4,19729,4
4,25164,5
4,25840,3
4,26629,4
4,28767,5
4,30944,5
4,32305,5
4,32745,4
4,32748,5
4,33065,5
4,37834,4
4,48687,5
4,52036,3
4,53292,5
5,2487,3
5,3739,5
5,6342,5
5,6630,3
5,8167,4
5,12381,4
5,12874,4
5,19729,4
5,24499,3
5,25164,4
5,25840,3
5,26629,5
5,28158,4
5,28767,2
5,30944,4
5,32748,4
5,33065,4
5,38798,2
5,45554,5
5,48687,5
5,52036,4
5,53292,5
6,28158,3
6,48687,5
6,52036,2
6,53292,5
7,3739,5
7,6630,5
7,7563,4
7,8167,3
7,10509,2
7,12381,5
7,12874,4
7,15604,3
7,17566,4
7,24499,2
7,25840,3
7,26145,4
7,26629,4
7,26718,4
7,28767,2
7,30944,5
7,32305,5
7,32748,5
7,38798,3
7,52036,5
7,53292,5
8,6342,5
8,6630,4
8,12381,3
8,12874,4
8,19729,5
8,24499,3
8,25164,4
8,25840,2
8,26145,3
8,28158,3
8,28767,2
8,30944,3
8,32745,4
8,32748,5
8,33065,3
8,37834,4
8,38798,4
8,45554,5
8,48687,5
8,49288,5
8,49289,5
8,49295,5
8,49297,5
8,53292,5
9,6630,4
9,7563,1
9,9731,3
9,10509,5
9,12874,5
9,14372,2
9,15604,4
9,17566,4
9,24499,2
9,25164,3
9,28767,3
9,32748,5
9,37834,3
9,38798,3
9,43602,4
9,53293,5
10,6630,3
10,8167,3
10,9731,3
10,10509,2
10,12381,5
10,12471,5
10,12874,4
10,15604,3
10,24499,4
10,25164,4
10,25840,5
10,26145,4
10,26718,5
10,28767,5
10,32748,4
10,33065,5
10,48687,5
10,49288,5
10,49289,5
10,49295,5
10,49297,5
10,50999,5
10,52036,4
10,53292,5
11,6342,5
11,6630,4
11,12381,4
11,12874,5
11,19729,4
11,24499,5
11,28767,3
11,32748,4
11,33065,2
11,38798,3
11,48687,5
11,49288,5
11,49289,5
11,49295,5
11,49297,5
12,7563,2
12,24499,4
12,28158,3
12,32748,3
12,37834,4
12,48687,5
12,49288,5
12,49289,5
12,49295,5
12,49297,5
12,52036,1
13,6342,5
13,8167,4
13,8510,3
13,9731,3
13,10288,3
13,10509,5
13,12381,5
13,12471,4
13,12874,4
13,15604,5
13,25164,4
13,25840,2
13,26145,3
13,26629,5
13,26718,5
13,32745,4
13,32748,5
13,33065,4
13,37834,4
13,45554,4
13,48687,5
13,49288,5
13,49289,5
13,49295,5
13,49297,5
13,50999,3
13,52036,5
14,3739,4
14,6342,5
14,8167,4
14,8510,3
14,12381,4
14,12874,4
14,15604,4
14,25840,3
14,26145,3
14,26629,4
14,28767,1
14,32305,5
14,32745,4
14,32748,5
14,33065,4
14,37834,4
14,48687,5
14,49288,5
14,49289,5
14,49295,5
14,49297,5
14,53292,5
15,2487,4
15,3739,4
15,9731,4
15,12381,5
15,12874,4
15,15604,3
15,17566,4
15,19729,4
15,24499,3
15,25164,4
15,25840,5
15,26629,4
15,28767,3
15,32745,4
15,32748,4
15,33065,5
15,37834,5
15,45554,5
15,48687,5
15,53292,5
16,2487,5
16,6342,4
16,6630,5
16,8510,5
16,9806,5
16,10509,5
16,12471,4
16,14372,5
16,24143,4
16,24499,3
16,25164,4
16,28158,4
16,28767,4
16,32305,1
16,32745,4
16,32748,3
16,33065,4
16,37834,5
16,38798,3
16,45554,4
16,48687,5
16,49288,5
16,49289,5
16,49295,5
16,49297,5
16,52036,2
17,6630,5
17,7563,2
17,12471,4
17,19729,4
17,24499,4
17,25164,3
17,26145,4
17,26629,4
17,26718,5
17,28158,4
17,30944,5
17,33065,4
17,37834,5
17,43602,4
17,52036,2
18,8167,4
18,9011,4
18,9731,4
18,10288,5
18,10509,2
18,12471,5
18,12874,4
18,15604,3
18,17566,4
18,19729,4
18,24499,3
18,25164,4
18,26145,3
18,26629,4
18,26718,4
18,28158,5
18,30944,4
18,32305,5
18,33065,5
18,45554,4
18,48687,1
18,52036,2
18,53292,5
19,3739,5
19,6342,5
19,6630,5
19,8167,4
19,10509,2
19,12381,5
19,15604,3
19,24499,4
19,26145,4
19,26629,4
19,28158,5
19,28767,2
19,30944,5
19,32305,5
19,32748,5
19,37834,4
19,43602,4
19,45554,3
19,49288,5
19,49289,5
19,49295,5
19,49297,5
19,52036,5
19,53292,5
20,6630,5
20,7563,2
20,10288,2
20,12471,3
20,19729,3
20,24499,3
20,25164,2
20,26145,3
20,26629,3
20,26718,5
20,28158,4
20,30184,5
20,30944,5
20,33065,4
20,37834,5
20,43602,3
20,48687,5
20,52036,2
21,8167,4
21,9011,4
21,9731,4
21,10509,2
21,12471,5
21,12874,4
21,15604,4
21,17566,4
21,19729,4
21,24499,4
21,25164,3
21,26145,3
21,26629,4
21,26718,4
21,28158,4
21,30944,3
21,32305,4
21,33065,5
21,43602,3
21,48687,1
21,52036,2
22,6342,4
22,6630,2
22,7563,3
22,9731,5
22,12381,3
22,12874,5
22,17566,4
22,19729,4
22,25164,4
22,25840,5
22,26629,4
22,28767,4
22,32305,2
22,32748,4
22,45554,4
22,48687,5
22,53292,5
23,3739,3
23,8167,2
23,9011,4
23,9731,4
23,10288,5
23,10509,2
23,12471,5
23,12874,4
23,15604,4
23,17566,3
23,19729,4
23,24499,2
23,25164,3
23,26145,3
23,26629,4
23,26718,4
23,30944,5
23,32305,5
23,33065,5
23,43602,3
23,48687,1
23,52036,2
24,8167,4
24,9011,3
24,9731,4
24,10288,5
24,10509,2
24,12471,5
24,12874,4
24,14372,3
24,15604,4
24,17566,4
24,19729,4
24,23603,5
24,24499,4
24,25164,4
24,26145,3
24,26718,4
24,28158,4
24,30944,3
24,32305,5
24,33065,5
24,43602,3
24,45554,4
24,48687,1
24,53293,5
25,8167,4
25,9011,4
25,9731,4
25,10288,5
25,12471,5
25,15604,4
25,17566,4
25,19729,5
25,24499,4
25,25164,3
25,26145,3
25,26629,4
25,28158,5
25,30944,4
25,32305,5
25,33065,5
25,45554,3
25,48687,1
25,52036,2
26,6342,3
26,9731,4
26,12381,2
26,12874,5
26,15604,4
26,17566,5
26,24499,2
26,25164,4
26,26145,4
26,30944,3
26,33065,4
26,37834,4
26,43602,4
26,45554,4
26,48687,5
27,8167,4
27,9011,3
27,9731,4
27,10288,5
27,10509,2
27,12471,5
27,15604,3
27,17566,4
27,19729,4
27,24499,4
27,25164,4
27,26145,3
27,26629,4
27,26718,4
27,28158,4
27,30944,2
27,32305,5
27,33065,5
27,43602,3
27,45554,3
27,48687,1
27,52036,2
28,3739,5
28,6342,5
28,6630,3
28,9011,2
28,9011,1
28,9731,3
28,12381,4
28,15604,5
28,17566,4
28,19729,3
28,24499,3
28,25164,4
28,25840,2
28,26145,3
28,26629,5
28,28767,1
28,30944,5
28,32305,5
28,32748,5
28,33065,4
28,37834,5
28,48687,5
29,6342,5
29,8167,3
29,8510,4
29,12874,3
29,15604,4
